month,kwhh
2011-11,3228.4790005
2011-12,100645.926995
2012-01,187743.293986
2012-02,280329.024989
2012-03,354699.766993
2012-04,497464.775007
2012-05,803049.989987
2012-06,1010943.49
2012-07,1188144.77197
2012-08,1194369.73799
2012-09,1273641.44299
2012-10,1670733.82901
2012-11,1899065.48595
2012-12,2128481.69396
2013-01,2155819.35993
2013-02,1898280.95998
2013-03,2034697.78594
2013-04,1627333.70198
2013-05,1479676.12496
2013-06,1337319.27099
2013-07,1321477.90299
2013-08,1285155.75498
2013-09,1374614.37495
2013-10,1531282.36595
2013-11,1715174.24298
2013-12,1854906.76797
2014-01,1816361.138
2014-02,1515181.84596
